epoch,train_loss,val_loss,val_mae,val_psnr,val_ssim
1,0.2748786314175679,0.5005749240517616,0.5114395618438721,4.7508162763448825,0.15421637251264544
2,0.1536781850915689,0.3754954934120178,0.33280184864997864,7.696671956470526,0.2661550429584633
3,0.11466086713167337,0.1280575655400753,0.11270952224731445,16.31283859305314,0.40489017421639956
4,0.09781381201285583,0.11384998075664043,0.103767529129982,17.06021421366433,0.4529481808563816
5,0.09021212045962994,0.10705376043915749,0.10194838047027588,17.188720919773782,0.48879499583654207
6,0.09073398950008246,0.13103259541094303,0.11727799475193024,15.659883667288048,0.46288276614947493
7,0.08773849961849359,0.13064895570278168,0.11983891576528549,15.861194543408137,0.4798800317793554
8,0.08419901877641678,0.11091380007565022,0.10380798578262329,17.044330458983872,0.48735422537391576
9,0.07911696743506652,0.10866737179458141,0.10225004702806473,17.166749951546524,0.5155783195046537
10,0.07660714794810002,0.09286907687783241,0.08599893748760223,18.515405195785696,0.5346555454606136
11,0.07382574935372059,0.1110286321491003,0.0966082364320755,17.818111664105547,0.5354811800188025
12,0.07582405209541321,0.11069804057478905,0.10401324927806854,17.060983132753684,0.5077132711357615
13,0.07653126005943005,0.11021113581955433,0.1007087454199791,17.45256921204176,0.5368763256092487
14,0.07699667977598998,0.11523190513253212,0.10599035024642944,17.25148198938595,0.5233201039857694
15,0.0728221544279502,0.13355830125510693,0.11423556506633759,16.799953350007666,0.5297777195892917
16,0.07327673756159268,0.09641210921108723,0.085837721824646,18.56654942995868,0.5435728430978939
17,0.0682702073110984,0.08800815604627132,0.08281896263360977,18.926495614573337,0.5560460659067186
18,0.06661494506093171,0.08505900949239731,0.08267688751220703,18.76962314241277,0.5673983801315495
19,0.06337553950456473,0.08981046639382839,0.08500886708498001,18.57114801054258,0.5679580016356895
20,0.0636864725786906,0.10486960411071777,0.09790273755788803,17.81581563944008,0.5620100116440065
21,0.06344609507001363,0.0887715257704258,0.08497095108032227,18.732964351785927,0.5717253531067346
22,0.062436324472610764,0.08526315167546272,0.0837738960981369,18.910726993013554,0.5704713579238189
23,0.05939552187919617,0.08687957189977169,0.08122271299362183,19.186216918501568,0.5869552247413901
24,0.058653988517247714,0.08868391625583172,0.08588822185993195,18.78915387137816,0.5660552672036605
25,0.05773031625610132,0.08394287526607513,0.08209466934204102,19.12838000254519,0.5888117685643183
26,0.05735490385156412,0.07837379164993763,0.07786936312913895,19.608903943870917,0.5795011378802116
27,0.05393548796956356,0.07851173356175423,0.07985159009695053,19.304184998713186,0.5877180421034215
28,0.05581043116175211,0.07713194563984871,0.07728876918554306,19.533548322187947,0.5991322631252473
29,0.050776608288288116,0.07756925374269485,0.07703451067209244,19.8073217783616,0.6089143420706944
30,0.0537775677557175,0.07713006809353828,0.07906301319599152,19.11534170856139,0.6054308795053269
31,0.05195720579761725,0.07980006374418736,0.08054923266172409,19.138844751063996,0.5989549839977738
32,0.05011556039635952,0.07924929447472095,0.07868912070989609,19.568750054897247,0.615594584223638
33,0.05020895428382433,0.07463648170232773,0.07729251682758331,19.718487659205127,0.6111490043386143
34,0.04836929216980934,0.07615508697926998,0.0779530256986618,19.605898925869713,0.6036458978902872
35,0.04948860922685036,0.08122299984097481,0.08108115196228027,19.24237364755146,0.5981696647147348
36,0.049484141170978546,0.07047063484787941,0.07391485571861267,19.94861335008276,0.6253769027367396
37,0.0479477784381463,0.07613660208880901,0.07675006985664368,19.87763008373774,0.6164254725611181
38,0.04465137106867937,0.07407240197062492,0.07774368673563004,19.710602459481194,0.6079151434620776
39,0.045892833230587154,0.07968102768063545,0.08005823194980621,19.43933092268723,0.6067139551331857
40,0.04747017272389852,0.0724819228053093,0.07654595375061035,19.80913992447073,0.6162823320184596
41,0.04271813825919078,0.06821135245263577,0.07260266691446304,20.26166426244794,0.6176733764807996
42,0.043453575613406986,0.07052936870604753,0.07435562461614609,20.03303068612064,0.6272230365720315
43,0.041482848616746754,0.07264446932822466,0.07596036791801453,19.68746158704018,0.6185671384541402
44,0.043396445421072155,0.07685196213424206,0.07813113927841187,19.649827053814015,0.6289945904324522
45,0.050537870480464056,0.10918880812823772,0.1088787391781807,16.622024863111744,0.5247186757278147
46,0.05397498407042944,0.07555476203560829,0.07701598107814789,19.846387264870224,0.6259245298101732
47,0.04700364630955916,0.07104168273508549,0.07426606863737106,19.99187768088665,0.6321197174607971
48,0.05019801998367676,0.07285977154970169,0.07941320538520813,19.59887071783157,0.6180652695760451
49,0.04587520085848295,0.07540263049304485,0.07898259162902832,19.584352858277857,0.6179149743978469
50,0.050251324875996664,0.07633769325911999,0.07959768176078796,19.57292632009858,0.6164126878128693
