epoch,train_loss,val_loss,val_mae,val_psnr,val_ssim
1,0.13908527488820255,0.12570079203162873,0.1269853562116623,15.407697618422729,0.4891785612216774
2,0.07615304447244853,0.06835268757172994,0.06925833970308304,20.418004777908926,0.6555084430125676
3,0.06844202592037618,0.05854093283414841,0.05954631790518761,22.097641028191873,0.6839148752941656
4,0.059539957786910236,0.05628999908055578,0.05761158838868141,22.855819728841997,0.7098717811917514
5,0.05735974037088454,0.0812811159661838,0.08053074032068253,20.76455833950066,0.6499710933505918
6,0.05292528623249382,0.057232468255928585,0.05872958526015282,22.64033837003888,0.7229999866087704
7,0.06120976549573243,0.04554306396416256,0.04610234871506691,24.145399000750903,0.7479583293305901
8,0.05507045076228678,0.06404800446970123,0.062405966222286224,22.2322355733972,0.7117973782321304
9,0.05097956210374832,0.04627026404653277,0.04679427295923233,24.00357340012333,0.7559843522901769
10,0.04916106746532023,0.04130482354334423,0.04180873930454254,24.795021884997357,0.7662662033456471
11,0.04447079449892044,0.04110206876482282,0.04150983318686485,24.878668367600344,0.7732059474791403
12,0.04138688032981008,0.03652334266475269,0.03687843307852745,25.93418308506305,0.7853163681960328
13,0.043099553033243865,0.03971225981201444,0.040113791823387146,25.244975821443173,0.7862638820713577
14,0.042046033195219934,0.03780816655073847,0.038043104112148285,25.782901348154795,0.7893833535101298
15,0.04109157406492159,0.03785773153815951,0.038288794457912445,25.696688557443835,0.7867835323068557
16,0.04003299382748082,0.03608904406428337,0.03655692934989929,25.92758488809383,0.7972868429872111
17,0.03792854200582951,0.042045453297240395,0.042443107813596725,24.890453508846687,0.7904218125328119
18,0.045854065916500986,0.04670889622398785,0.04763949289917946,24.333683465303103,0.7590998985970816
19,0.042621748871169984,0.038474145478435924,0.0388764813542366,25.651048441521816,0.7918498989775725
20,0.0380999994231388,0.034028472911034315,0.03449941799044609,26.448833661864764,0.8039378688030725
21,0.03747560741612688,0.0340187033372266,0.03420352190732956,26.567219753701206,0.8005454615355009
22,0.03795742546208203,0.039667922471250804,0.04005367308855057,25.141164755863866,0.8015325043079855
23,0.03679759189253673,0.03375570396227496,0.03374288231134415,26.51866110895581,0.8103729643155967
24,0.03557267115684226,0.03596558714551585,0.03618139401078224,26.116108602794046,0.8142379296476392
25,0.03444500733166933,0.03386022975402219,0.034172095358371735,26.467546112509382,0.8187848645193033
26,0.033855126064736396,0.027941553986498287,0.028162412345409393,27.872023163346185,0.8267267756129015
27,0.03152247820980847,0.033096441732985635,0.03306741639971733,26.796731442590136,0.826102830424505
28,0.03023574175313115,0.028329801878758838,0.028448771685361862,27.75837418313531,0.8241620837562791
29,0.032472087536007166,0.03959769542728152,0.040128350257873535,25.38650596683685,0.8161457516092304
30,0.03213275980670005,0.03405057984803404,0.03361675888299942,26.59011923254282,0.8193689785869386
31,0.03061170969158411,0.031532149495823045,0.03168639540672302,27.31609374377406,0.8278782403710188
32,0.03457676456309855,0.02986508740910462,0.030155222862958908,27.574830523517818,0.8312239371653789
33,0.03583663975587115,0.045100104595933645,0.04556158930063248,24.26745204807685,0.8003739442207995
34,0.04267366835847497,0.03568521940282413,0.03588154539465904,25.796513921850675,0.8120353712060033
35,0.033407299080863595,0.03243172488042286,0.03303967043757439,26.94640246957697,0.8267928637572588
36,0.03140320279635489,0.030190453199403628,0.030253274366259575,27.43505670554866,0.8266840495288128
37,0.03169882093789056,0.03205503124211516,0.03232458606362343,27.097778217829,0.8284475333459018
38,0.03363135678227991,0.030909722138728415,0.03110305219888687,27.117588672707875,0.8297719029549577
39,0.03171676170313731,0.03068087569304875,0.031059585511684418,27.578820528336546,0.8373617640217691
40,0.03123185341246426,0.030628966965845654,0.03078366257250309,27.251529685906856,0.8368326994729703
41,0.030335111368913203,0.029475297778844833,0.0295827928930521,27.57791708013593,0.8370653463169688
42,0.028652267064899206,0.026414348610809872,0.026440661400556564,28.45760976213813,0.8472937458806399
43,0.030165814503561705,0.026848329763327326,0.02701433375477791,28.448196460082777,0.8471317443942543
44,0.0319354283856228,0.02865446119436196,0.02882903255522251,27.909810072624854,0.8378014742954708
45,0.029987583286128938,0.027665248406784877,0.027897562831640244,28.172925537431293,0.8432871678805687
46,0.02755223267013207,0.0354903590466295,0.035743266344070435,26.55654007844266,0.8406065348354664
47,0.02625789918238297,0.027531375576342856,0.027678685262799263,28.311195008330834,0.8498632344624721
48,0.028438378882128745,0.02644297480583191,0.0267017912119627,28.511914519642872,0.8494012818431953
49,0.026153423241339624,0.02673159433262689,0.0269867405295372,28.46688829565349,0.8467416730639848
50,0.02579679648624733,0.024581411853432655,0.024696731939911842,29.043425084448522,0.8538494371896064
